id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65095,"193.122.130.38","f8:ca:59:07:25:d5","f8:ca:59",443,6,4,0,0,1742511310618,1742511317731,7113,35,10166,1742511310618,1742511317672,7054,19,2477,1742511310627,1742511317731,7104,16,7689,"TLS","Web",0,6,"","","","",""
1,0,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65210,"3.214.100.178","f8:ca:59:07:25:d5","f8:ca:59",443,6,4,0,0,1742511310619,1742511312538,1919,21,6236,1742511310619,1742511312538,1919,10,4047,1742511310627,1742511312538,1911,11,2189,"TLS","Web",1,1,"","","","",""
2,0,"69.173.146.5","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65071,6,4,0,0,1742511310625,1742511312941,2316,16,9572,1742511310625,1742511312941,2316,7,5876,1742511310666,1742511312941,2275,9,3696,"TLS","Web",0,6,"","","","",""
3,0,"23.83.76.58","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65151,6,4,0,0,1742511310625,1742511319362,8737,110,39100,1742511310625,1742511319362,8737,46,26613,1742511310629,1742511319360,8731,64,12487,"TLS","Web",0,6,"","","","",""
4,0,"104.254.151.60","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65067,6,4,0,0,1742511310625,1742511330087,19462,110,50375,1742511310625,1742511330087,19462,54,40384,1742511310629,1742511330055,19426,56,9991,"TLS","Web",0,6,"","","","",""
5,0,"74.214.194.131","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65068,6,4,0,0,1742511310625,1742511319374,8749,62,24963,1742511310625,1742511319374,8749,29,18518,1742511310626,1742511319374,8748,33,6445,"TLS","Web",0,6,"","","","",""
6,0,"80.82.210.217","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65200,6,4,0,0,1742511310627,1742511319411,8784,13,1926,1742511310627,1742511319411,8784,8,1550,1742511310641,1742511319411,8770,5,376,"TLS","Web",0,6,"","","","",""
7,0,"69.173.146.5","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65203,6,4,0,0,1742511310627,1742511314845,4218,13,6029,1742511310627,1742511314845,4218,6,3617,1742511310684,1742511314845,4161,7,2412,"TLS","Web",0,6,"","","","",""
8,0,"69.173.146.5","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65212,6,4,0,0,1742511310627,1742511312938,2311,29,12688,1742511310627,1742511312938,2311,14,7648,1742511310629,1742511312938,2309,15,5040,"TLS","Advertisement",0,6,"pixel.rubiconproject.com","419bdbc017f397194f897be17e8fe832","15af977ce25de452b96affa2addb1036","",""
9,0,"54.224.103.108","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65066,6,4,0,0,1742511310627,1742511319279,8652,97,21874,1742511310627,1742511319279,8652,42,14189,1742511310658,1742511319279,8621,55,7685,"TLS","Web",0,6,"","","","",""
10,0,"74.119.118.138","f8:ca:59:07:25:d5","f8:ca:59",443,"192.168.1.199","54:14:f3:bb:2c:8b","54:14:f3",65205,6,4,0,0,1742511310627,1742511319374,8747,31,12477,1742511310627,1742511319374,8747,13,7771,1742511310681,1742511319372,8691,18,4706,"TLS","Web",0,6,"","","","",""
